Title,Main_Artist,Original_Artist,Album,Genre,YouTube_URL,Cover_URL,File_Path
Girls' Generation 소녀시대 'Gee' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=U7mPqycQ0tQ,https://i.ytimg.com/vi/U7mPqycQ0tQ/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Gee' MV.mp3
Girls' Generation 소녀시대 '소원을 말해봐 (Genie)' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=6SwiSpudKWI,https://i.ytimg.com/vi/6SwiSpudKWI/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 '소원을 말해봐 (Genie)' MV.mp3
Girls' Generation 소녀시대 '다시 만난 세계 (Into The New World)' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=0k2Zzkw_-0I,https://i.ytimg.com/vi/0k2Zzkw_-0I/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 '다시 만난 세계 (Into The New World)' MV.mp3
The Boys,Girls Generation,Girls' Generation,The Boys - The 3rd Album,kpop-gen2,https://music.youtube.com/watch?v=gzWo1I4Scow,https://i.ytimg.com/vi/gzWo1I4Scow/maxresdefault.jpg,Girls Generation/The Boys - The 3rd Album/The Boys.mp3
Girls' Generation 소녀시대 'Oh!' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=TGbwL8kSpEk,https://i.ytimg.com/vi/TGbwL8kSpEk/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Oh!' MV.mp3
TAEYEON 태연 'I (feat. Verbal Jint)' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=4OrCA1OInoo,https://i.ytimg.com/vi/4OrCA1OInoo/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'I (feat. Verbal Jint)' MV.mp3
Girls' Generation-Oh!GG 소녀시대-Oh!GG '몰랐니 (Lil' Touch)' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=SdzLl-XpJt0,https://i.ytimg.com/vi/SdzLl-XpJt0/maxresdefault.jpg,Girls Generation/Single/Girls' Generation-Oh!GG 소녀시대-Oh!GG '몰랐니 (Lil' Touch)' MV.mp3
Girls' Generation 소녀시대 'FOREVER 1' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=Qpf26PtBXgo,https://i.ytimg.com/vi/Qpf26PtBXgo/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'FOREVER 1' MV.mp3
Girls' Generation 소녀시대 'I GOT A BOY' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=wq7ftOZBy0E,https://i.ytimg.com/vi/wq7ftOZBy0E/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'I GOT A BOY' MV.mp3
TAEYEON 태연 'INVU' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=AbZH7XWDW_k,https://i.ytimg.com/vi/AbZH7XWDW_k/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'INVU' MV.mp3
Girls' Generation 소녀시대 'Lion Heart' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=nVCubhQ454c,https://i.ytimg.com/vi/nVCubhQ454c/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Lion Heart' MV.mp3
Girls' Generation 소녀시대 'PARTY' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=HQzu7NYlZNQ,https://i.ytimg.com/vi/HQzu7NYlZNQ/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'PARTY' MV.mp3
TAEYEON 태연 'Fine' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=NHXUM-6a3dU,https://i.ytimg.com/vi/NHXUM-6a3dU/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Fine' MV.mp3
"HYO 효연 ‘DESSERT (Feat. Loopy, SOYEON ((G)I-DLE))’ MV",Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=4VmLuWDkHYQ,https://i.ytimg.com/vi/4VmLuWDkHYQ/maxresdefault.jpg,"Girls Generation/Single/HYO 효연 ‘DESSERT (Feat. Loopy, SOYEON ((G)I-DLE))’ MV.mp3"
TAEYEON 태연 'Weekend' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=RmuL-BPFi2Q,https://i.ytimg.com/vi/RmuL-BPFi2Q/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Weekend' MV.mp3
Girls' Generation 소녀시대 'Mr.Mr.' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=Z8j_XEn9b_8,https://i.ytimg.com/vi/Z8j_XEn9b_8/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Mr.Mr.' MV.mp3
TAEYEON 태연 'Why' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=WkdtmT8A2iY,https://i.ytimg.com/vi/WkdtmT8A2iY/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Why' MV.mp3
Girls' Generation 소녀시대 'Run Devil Run' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=q_gfD3nvh-8,https://i.ytimg.com/vi/q_gfD3nvh-8/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Run Devil Run' MV.mp3
TAEYEON 태연 '11:11' MV,Girls Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=ulr0muQKjk0,https://i.ytimg.com/vi/ulr0muQKjk0/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 '11_11' MV.mp3
