Original_Title,Title,Main_Artist,Original_Artist,Source_Channel,Album,Genre,YouTube_URL,Cover_URL,File_Path,Possible_Duplicate
Girls' Generation 소녀시대 'Gee' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=U7mPqycQ0tQ,https://i.ytimg.com/vi/U7mPqycQ0tQ/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Gee' MV.mp3,True
Girls' Generation 소녀시대 '소원을 말해봐 (Genie)' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=6SwiSpudKWI,https://i.ytimg.com/vi/6SwiSpudKWI/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 '소원을 말해봐 (Genie)' MV.mp3,True
Girls' Generation 소녀시대 '다시 만난 세계 (Into The New World)' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=0k2Zzkw_-0I,https://i.ytimg.com/vi/0k2Zzkw_-0I/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 '다시 만난 세계 (Into The New World)' MV.mp3,True
The Boys,The Boys,Girls' Generation,Girls' Generation,Girls' Generation,The Boys - The 3rd Album,kpop-gen2,https://music.youtube.com/watch?v=gzWo1I4Scow,https://i.ytimg.com/vi/gzWo1I4Scow/maxresdefault.jpg,Girls Generation/The Boys - The 3rd Album/The Boys.mp3,False
Girls' Generation 소녀시대 'Oh!' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=TGbwL8kSpEk,https://i.ytimg.com/vi/TGbwL8kSpEk/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Oh!' MV.mp3,True
TAEYEON 태연 'I (feat. Verbal Jint)' MV,I (feat. Verbal Jint),Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=4OrCA1OInoo,https://i.ytimg.com/vi/4OrCA1OInoo/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'I (feat. Verbal Jint)' MV.mp3,False
Girls' Generation-Oh!GG 소녀시대-Oh!GG '몰랐니 (Lil' Touch)' MV,Generation-Oh!GG 소녀시대-Oh!GG,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=SdzLl-XpJt0,https://i.ytimg.com/vi/SdzLl-XpJt0/maxresdefault.jpg,Girls Generation/Single/Girls' Generation-Oh!GG 소녀시대-Oh!GG '몰랐니 (Lil' Touch)' MV.mp3,False
Girls' Generation 소녀시대 'FOREVER 1' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=Qpf26PtBXgo,https://i.ytimg.com/vi/Qpf26PtBXgo/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'FOREVER 1' MV.mp3,True
Girls' Generation 소녀시대 'I GOT A BOY' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=wq7ftOZBy0E,https://i.ytimg.com/vi/wq7ftOZBy0E/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'I GOT A BOY' MV.mp3,True
TAEYEON 태연 'INVU' MV,INVU,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=AbZH7XWDW_k,https://i.ytimg.com/vi/AbZH7XWDW_k/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'INVU' MV.mp3,False
Girls' Generation 소녀시대 'Lion Heart' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=nVCubhQ454c,https://i.ytimg.com/vi/nVCubhQ454c/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Lion Heart' MV.mp3,True
Girls' Generation 소녀시대 'PARTY' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=HQzu7NYlZNQ,https://i.ytimg.com/vi/HQzu7NYlZNQ/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'PARTY' MV.mp3,True
TAEYEON 태연 'Fine' MV,Fine,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=NHXUM-6a3dU,https://i.ytimg.com/vi/NHXUM-6a3dU/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Fine' MV.mp3,False
"HYO 효연 ‘DESSERT (Feat. Loopy, SOYEON ((G)I-DLE))’ MV","DESSERT (Feat. Loopy, SOYEON ((G)I-DLE))",Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=4VmLuWDkHYQ,https://i.ytimg.com/vi/4VmLuWDkHYQ/maxresdefault.jpg,"Girls Generation/Single/HYO 효연 ‘DESSERT (Feat. Loopy, SOYEON ((G)I-DLE))’ MV.mp3",False
TAEYEON 태연 'Weekend' MV,Weekend,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=RmuL-BPFi2Q,https://i.ytimg.com/vi/RmuL-BPFi2Q/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Weekend' MV.mp3,False
Girls' Generation 소녀시대 'Mr.Mr.' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=Z8j_XEn9b_8,https://i.ytimg.com/vi/Z8j_XEn9b_8/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Mr.Mr.' MV.mp3,True
TAEYEON 태연 'Why' MV,Why,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=WkdtmT8A2iY,https://i.ytimg.com/vi/WkdtmT8A2iY/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Why' MV.mp3,False
Girls' Generation 소녀시대 'Run Devil Run' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=q_gfD3nvh-8,https://i.ytimg.com/vi/q_gfD3nvh-8/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Run Devil Run' MV.mp3,True
TAEYEON 태연 '11:11' MV,11:11,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=ulr0muQKjk0,https://i.ytimg.com/vi/ulr0muQKjk0/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 '11_11' MV.mp3,False
Girls' Generation 소녀시대 'Catch Me If You Can' MV (Korean Ver.),Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=b09U0KLv6I4,https://i.ytimg.com/vi/b09U0KLv6I4/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Catch Me If You Can' MV (Korean Ver.).mp3,True
TAEYEON 태연 '불티 (Spark)' MV,불티 (Spark),Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=eP4ga_fNm-E,https://i.ytimg.com/vi/eP4ga_fNm-E/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 '불티 (Spark)' MV.mp3,False
Girls' Generation 소녀시대 'Holiday' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=YwN-CN9EjTg,https://i.ytimg.com/vi/YwN-CN9EjTg/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Holiday' MV.mp3,True
TAEYEON 태연 '사계 (Four Seasons)' MV,사계 (Four Seasons),Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=4HG_CJzyX6A,https://i.ytimg.com/vi/4HG_CJzyX6A/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 '사계 (Four Seasons)' MV.mp3,False
Girls' Generation 少女時代 'PAPARAZZI' MV,Generation 少女時代,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=IUqP1xzRZkw,https://i.ytimg.com/vi/IUqP1xzRZkw/sddefault.jpg,Girls Generation/Single/Girls' Generation 少女時代 'PAPARAZZI' MV.mp3,True
TAEYEON 태연 'Rain' MV,Rain,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=eHir_vB1RUI,https://i.ytimg.com/vi/eHir_vB1RUI/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Rain' MV.mp3,False
Girls' Generation 少女時代 'GALAXY SUPERNOVA' MV Dance ver.,Generation 少女時代,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=Z6FPJOgfCkc,https://i.ytimg.com/vi/Z6FPJOgfCkc/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 少女時代 'GALAXY SUPERNOVA' MV Dance ver..mp3,True
Girls' Generation 소녀시대 'You Think' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=hJYGddE0vHc,https://i.ytimg.com/vi/hJYGddE0vHc/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'You Think' MV.mp3,True
Girls' Generation 소녀시대 'Dancing Queen' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=EXZxc8GSXnI,https://i.ytimg.com/vi/EXZxc8GSXnI/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Dancing Queen' MV.mp3,True
TAEYEON 태연 'Can't Control Myself' MV,Can,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=RccDIpx4ZMM,https://i.ytimg.com/vi/RccDIpx4ZMM/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Can't Control Myself' MV.mp3,False
Girls' Generation 少女時代 'My Oh My' MV,Generation 少女時代,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=RQy54gw-pls,https://i.ytimg.com/vi/RQy54gw-pls/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 少女時代 'My Oh My' MV.mp3,True
Girls' Generation 少女時代 'FLOWER POWER' MV,Generation 少女時代,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=jG1cIlM1juw,https://i.ytimg.com/vi/jG1cIlM1juw/sddefault.jpg,Girls Generation/Single/Girls' Generation 少女時代 'FLOWER POWER' MV.mp3,True
Girls' Generation 소녀시대 '훗 (Hoot)' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=F4-SxcCO5d0,https://i.ytimg.com/vi/F4-SxcCO5d0/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 '훗 (Hoot)' MV.mp3,True
Girls' Generation 소녀시대 'All Night' MV (Clean Ver.),Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=f4w8IbQTJpY,https://i.ytimg.com/vi/f4w8IbQTJpY/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'All Night' MV (Clean Ver.).mp3,True
[MV] TAEYEON(태연) - Pieces(조각),Pieces(조각),Girls' Generation,SUPER SOUND Bugs!,SUPER SOUND Bugs!,Single,kpop-gen2,https://music.youtube.com/watch?v=gPntEbv7lws,https://i.ytimg.com/vi/gPntEbv7lws/sddefault.jpg,Girls Generation/Single/[MV] TAEYEON(태연) - Pieces(조각).mp3,False
TAEYEON 태연 'What Do I Call You' MV,What Do I Call You,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=5LbFdY6vGsQ,https://i.ytimg.com/vi/5LbFdY6vGsQ/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'What Do I Call You' MV.mp3,False
TIFFANY 티파니 'I Just Wanna Dance' MV,I Just Wanna Dance,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=E0Y3ABqK7M4,https://i.ytimg.com/vi/E0Y3ABqK7M4/maxresdefault.jpg,Girls Generation/Single/TIFFANY 티파니 'I Just Wanna Dance' MV.mp3,False
Girls' Generation-TTS 소녀시대-태티서 'Holler' MV,Generation-TTS 소녀시대-태티서,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=uXfxVm3V55I,https://i.ytimg.com/vi/uXfxVm3V55I/maxresdefault.jpg,Girls Generation/Single/Girls' Generation-TTS 소녀시대-태티서 'Holler' MV.mp3,True
HYO 효연 'Second (Feat. 비비 (BIBI))' MV,Second (Feat. 비비 (BIBI)),Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=rthppvDJ2fA,https://i.ytimg.com/vi/rthppvDJ2fA/maxresdefault.jpg,Girls Generation/Single/HYO 효연 'Second (Feat. 비비 (BIBI))' MV.mp3,False
Girls' Generation 少女時代 'LOVE&GIRLS' MV Dance ver.,Generation 少女時代,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=6ex1YkDXelo,https://i.ytimg.com/vi/6ex1YkDXelo/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 少女時代 'LOVE&GIRLS' MV Dance ver..mp3,True
Twinkle,Twinkle,Girls' Generation,Girls' Generation-TTS,Girls' Generation-TTS,Twinkle - Mini Album,kpop-gen2,https://music.youtube.com/watch?v=ETIuTYFZLow,https://i.ytimg.com/vi/ETIuTYFZLow/maxresdefault.jpg,Girls Generation/Twinkle - Mini Album/Twinkle.mp3,False
YOONA 윤아 'Wish to Wish' MV,Wish to Wish,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=1mVo8z3VBBI,https://i.ytimg.com/vi/1mVo8z3VBBI/maxresdefault.jpg,Girls Generation/Single/YOONA 윤아 'Wish to Wish' MV.mp3,False
SEOHYUN 서현 'Don't Say No' MV,Don,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=PBYnq_G866U,https://i.ytimg.com/vi/PBYnq_G866U/maxresdefault.jpg,Girls Generation/Single/SEOHYUN 서현 'Don't Say No' MV.mp3,False
TAEYEON 태연 'Happy' MV,Happy,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=Raj-AuQgCTg,https://i.ytimg.com/vi/Raj-AuQgCTg/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Happy' MV.mp3,False
TAEYEON 태연 'Make Me Love You' MV,Make Me Love You,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=TVUqLBRQom8,https://i.ytimg.com/vi/TVUqLBRQom8/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Make Me Love You' MV.mp3,False
Tiffany Young - Lips On Lips Official Music Video,Lips On Lips,Girls' Generation,Tiffany Young,Tiffany Young,Single,kpop-gen2,https://music.youtube.com/watch?v=Th7IXezLbYU,https://i.ytimg.com/vi/Th7IXezLbYU/maxresdefault.jpg,Girls Generation/Single/Tiffany Young - Lips On Lips Official Music Video.mp3,False
Girls' Generation-TTS 소녀시대-태티서 'Dear Santa' MV,Generation-TTS 소녀시대-태티서,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=CL34w0xql7s,https://i.ytimg.com/vi/CL34w0xql7s/maxresdefault.jpg,Girls Generation/Single/Girls' Generation-TTS 소녀시대-태티서 'Dear Santa' MV.mp3,True
첫눈에... Snowy Wish,첫눈에... Snowy Wish,Girls' Generation,Girls' Generation,Girls' Generation,훗 Hoot - The 3rd Mini Album,kpop-gen2,https://music.youtube.com/watch?v=eg3A8pnpZG0,https://i.ytimg.com/vi/eg3A8pnpZG0/maxresdefault.jpg,Girls Generation/훗 Hoot - The 3rd Mini Album/첫눈에... Snowy Wish.mp3,False
TAEYEON 태연 'Something New' MV,Something New,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=im1UUY8dQIk,https://i.ytimg.com/vi/im1UUY8dQIk/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'Something New' MV.mp3,False
[STATION] TIFFANY 티파니 'Heartbreak Hotel (Feat. Simon Dominic)' MV,Heartbreak Hotel (Feat. Simon Dominic),Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=zQ6u3FO-aRM,https://i.ytimg.com/vi/zQ6u3FO-aRM/maxresdefault.jpg,Girls Generation/Single/[STATION] TIFFANY 티파니 'Heartbreak Hotel (Feat. Simon Dominic)' MV.mp3,False
DEEP,DEEP,Girls' Generation,HYO,HYO,DEEP - The 1st Mini Album,kpop-gen2,https://music.youtube.com/watch?v=wZIoIgz5mbs,https://i.ytimg.com/vi/wZIoIgz5mbs/maxresdefault.jpg,Girls Generation/DEEP - The 1st Mini Album/DEEP.mp3,False
Girls' Generation 소녀시대 'Kissing You' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=r3yxxe66LXs,https://i.ytimg.com/vi/r3yxxe66LXs/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 'Kissing You' MV.mp3,True
[STATION] YOONA 윤아 '바람이 불면 (When The Wind Blows)' MV,바람이 불면 (When The Wind Blows),Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=o3pOzegB-7w,https://i.ytimg.com/vi/o3pOzegB-7w/maxresdefault.jpg,Girls Generation/Single/[STATION] YOONA 윤아 '바람이 불면 (When The Wind Blows)' MV.mp3,False
Girls' Generation 소녀시대 '소녀시대 (Girls' Generation)' MV,Generation 소녀시대,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=IbLh4i40I4E,https://i.ytimg.com/vi/IbLh4i40I4E/maxresdefault.jpg,Girls Generation/Single/Girls' Generation 소녀시대 '소녀시대 (Girls' Generation)' MV.mp3,True
TAEYEON 태연 'This Christmas' MV,This Christmas,Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=hsh54g9JmC0,https://i.ytimg.com/vi/hsh54g9JmC0/maxresdefault.jpg,Girls Generation/Single/TAEYEON 태연 'This Christmas' MV.mp3,False
[STATION] YOONA 윤아 '덕수궁 돌담길의 봄 (Deoksugung Stonewall Walkway) (Feat. 10cm)' MV,덕수궁 돌담길의 봄 (Deoksugung Stonewall Walkway) (Feat. 10cm),Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=yuCbJykB32M,https://i.ytimg.com/vi/yuCbJykB32M/maxresdefault.jpg,Girls Generation/Single/[STATION] YOONA 윤아 '덕수궁 돌담길의 봄 (Deoksugung Stonewall Walkway) (Feat. 10cm)' MV.mp3,False
Tiffany Young - Magnetic Moon (Official Music Video),Magnetic Moon,Girls' Generation,Tiffany Young,Tiffany Young,Single,kpop-gen2,https://music.youtube.com/watch?v=oM_t7Y8gBwU,https://i.ytimg.com/vi/oM_t7Y8gBwU/maxresdefault.jpg,Girls Generation/Single/Tiffany Young - Magnetic Moon (Official Music Video).mp3,False
YURI 유리 '빠져가 (Into You)' MV,빠져가 (Into You),Girls' Generation,Girls' Generation,SMTOWN,Single,kpop-gen2,https://music.youtube.com/watch?v=hsJ2c3k_XeE,https://i.ytimg.com/vi/hsJ2c3k_XeE/maxresdefault.jpg,Girls Generation/Single/YURI 유리 '빠져가 (Into You)' MV.mp3,False
