Title,Main_Artist,Original_Artist,Album,Genre,YouTube_URL,Cover_URL,File_Path
Taylor Swift - The Fate of Ophelia (Official Music Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=ko70cExuzZM,https://i.ytimg.com/vi/ko70cExuzZM/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - The Fate of Ophelia (Official Music Video).mp3
Taylor Swift - Love Story (Taylor’s Version) [Official Lyric Video],Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=aXzVF3XeS8M,https://i.ytimg.com/vi/aXzVF3XeS8M/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Love Story (Taylor’s Version) [Official Lyric Video].mp3
Taylor Swift - Cruel Summer (Official Audio),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=ic8j13piAhQ,https://i.ytimg.com/vi/ic8j13piAhQ/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Cruel Summer (Official Audio).mp3
Taylor Swift - I Can Do It With A Broken Heart (Official Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=Sl6en1NPTYM,https://i.ytimg.com/vi/Sl6en1NPTYM/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - I Can Do It With A Broken Heart (Official Video).mp3
Taylor Swift - …Ready For It?,Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=wIft-t-MQuE,https://i.ytimg.com/vi/wIft-t-MQuE/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - …Ready For It?.mp3
Taylor Swift - Look What You Made Me Do,Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=3tmd-ClpJxA,https://i.ytimg.com/vi/3tmd-ClpJxA/sddefault.jpg,Taylor Swift/Single/Taylor Swift - Look What You Made Me Do.mp3
Taylor Swift - Bad Blood ft. Kendrick Lamar,Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=QcIy9NiNbmo,https://i.ytimg.com/vi/QcIy9NiNbmo/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Bad Blood ft. Kendrick Lamar.mp3
Taylor Swift - You Belong With Me,Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=VuNIsY6JdUw,https://i.ytimg.com/vi/VuNIsY6JdUw/sddefault.jpg,Taylor Swift/Single/Taylor Swift - You Belong With Me.mp3
Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=q3zqJs7JUCQ,https://i.ytimg.com/vi/q3zqJs7JUCQ/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video).mp3
"ZAYN, Taylor Swift - I Don’t Wanna Live Forever (Fifty Shades Darker)",Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=7F37r50VUTQ,https://i.ytimg.com/vi/7F37r50VUTQ/maxresdefault.jpg,"Taylor Swift/Single/ZAYN, Taylor Swift - I Don’t Wanna Live Forever (Fifty Shades Darker).mp3"
Taylor Swift - Opalite (Lyric Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=3PJC6uPIekc,https://i.ytimg.com/vi/3PJC6uPIekc/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Opalite (Lyric Video).mp3
Taylor Swift - Delicate,Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=tCXGJQYZ9JA,https://i.ytimg.com/vi/tCXGJQYZ9JA/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Delicate.mp3
Taylor Swift - Anti-Hero (Official Music Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=b1kbLwvqugk,https://i.ytimg.com/vi/b1kbLwvqugk/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Anti-Hero (Official Music Video).mp3
Taylor Swift - ME! (feat. Brendon Urie of Panic! At The Disco) ft. Brendon Urie,Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=FuXNumBwDOM,https://i.ytimg.com/vi/FuXNumBwDOM/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - ME! (feat. Brendon Urie of Panic! At The Disco) ft. Brendon Urie.mp3
Taylor Swift - You Need To Calm Down,Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=Dkk9gvTmCXY,https://i.ytimg.com/vi/Dkk9gvTmCXY/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - You Need To Calm Down.mp3
Taylor Swift - Lover (Official Music Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=-BjZmE2gtdo,https://i.ytimg.com/vi/-BjZmE2gtdo/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Lover (Official Music Video).mp3
Taylor Swift - cardigan,Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=K-a8s8OLBSE,https://i.ytimg.com/vi/K-a8s8OLBSE/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - cardigan.mp3
"Taylor Swift - End Game ft. Ed Sheeran, Future",Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=dfnCAmr569k,https://i.ytimg.com/vi/dfnCAmr569k/maxresdefault.jpg,"Taylor Swift/Single/Taylor Swift - End Game ft. Ed Sheeran, Future.mp3"
Taylor Swift - Everything Has Changed ft. Ed Sheeran,Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=w1oM3kQpXRo,https://i.ytimg.com/vi/w1oM3kQpXRo/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Everything Has Changed ft. Ed Sheeran.mp3
Taylor Swift - Enchanted (Taylor's Version) (Lyric Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=igIfiqqVHtA,https://i.ytimg.com/vi/igIfiqqVHtA/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Enchanted (Taylor's Version) (Lyric Video).mp3
Taylor Swift - willow (Official Music Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=RsEZmictANA,https://i.ytimg.com/vi/RsEZmictANA/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - willow (Official Music Video).mp3
Taylor Swift - Guilty as Sin (Official Lyric Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=OOYlWF6V8t8,https://i.ytimg.com/vi/OOYlWF6V8t8/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Guilty as Sin (Official Lyric Video).mp3
Don’t Blame Me,Taylor Swift,Taylor Swift,reputation,usuk-pop,https://music.youtube.com/watch?v=kRJKB291Z1g,https://i.ytimg.com/vi/kRJKB291Z1g/maxresdefault.jpg,Taylor Swift/reputation/Don’t Blame Me.mp3
Taylor Swift - Bejeweled (Official Music Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=b7QlX3yR2xs,https://i.ytimg.com/vi/b7QlX3yR2xs/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Bejeweled (Official Music Video).mp3
Taylor Swift - Elizabeth Taylor (Lyric Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=7X5iDKPrZH0,https://i.ytimg.com/vi/7X5iDKPrZH0/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Elizabeth Taylor (Lyric Video).mp3
Taylor Swift - Father Figure (Lyric Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=98SmlWOKuME,https://i.ytimg.com/vi/98SmlWOKuME/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Father Figure (Lyric Video).mp3
Taylor Swift ft. Ice Spice - Karma (Official Music Video) ft. Ice Spice,Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=XzOvgu3GPwY,https://i.ytimg.com/vi/XzOvgu3GPwY/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift ft. Ice Spice - Karma (Official Music Video) ft. Ice Spice.mp3
Taylor Swift - All Too Well: The Short Film,Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=tollGa3S0o8,https://i.ytimg.com/vi/tollGa3S0o8/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - All Too Well_ The Short Film.mp3
Taylor Swift - Lavender Haze (Official Music Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=h8DLofLM7No,https://i.ytimg.com/vi/h8DLofLM7No/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Lavender Haze (Official Music Video).mp3
Taylor Swift – august (Official Lyric Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=nn_0zPAfyo8,https://i.ytimg.com/vi/nn_0zPAfyo8/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift – august (Official Lyric Video).mp3
Taylor Swift - Wi$h Li$t (Lyric Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=wqgUzLHgNMI,https://i.ytimg.com/vi/wqgUzLHgNMI/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Wi$h Li$t (Lyric Video).mp3
Taylor Swift – exile (feat. Bon Iver) (Official Lyric Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=osdoLjUNFnA,https://i.ytimg.com/vi/osdoLjUNFnA/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift – exile (feat. Bon Iver) (Official Lyric Video).mp3
Taylor Swift - The Life of a Showgirl (Feat. Sabrina Carpenter) (Lyric Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=OU6362Nggg0,https://i.ytimg.com/vi/OU6362Nggg0/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - The Life of a Showgirl (Feat. Sabrina Carpenter) (Lyric Video).mp3
Taylor Swift - The Way I Loved You (Taylor's Version) (Lyric Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=DlexmDDSDZ0,https://i.ytimg.com/vi/DlexmDDSDZ0/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - The Way I Loved You (Taylor's Version) (Lyric Video).mp3
Taylor Swift - Wood (Lyric Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=6m50keINEOI,https://i.ytimg.com/vi/6m50keINEOI/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - Wood (Lyric Video).mp3
Taylor Swift - The Man (Official Video),Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=AqAJLh9wuZ0,https://i.ytimg.com/vi/AqAJLh9wuZ0/maxresdefault.jpg,Taylor Swift/Single/Taylor Swift - The Man (Official Video).mp3
"Taylor Swift - You're On Your Own, Kid (Official Lyric Video)",Taylor Swift,Taylor Swift,Single,usuk-pop,https://music.youtube.com/watch?v=7Gbg6Z70J7E,https://i.ytimg.com/vi/7Gbg6Z70J7E/maxresdefault.jpg,"Taylor Swift/Single/Taylor Swift - You're On Your Own, Kid (Official Lyric Video).mp3"
