Title,Main_Artist,Original_Artist,Album,Genre,YouTube_URL,Cover_URL,File_Path
Nơi Này Có Anh,Sơn Tùng M-TP,Sơn Tùng M-TP,Nơi Này Có Anh,vpop-mainstream,https://music.youtube.com/watch?v=qHpE45b4INk,https://i.ytimg.com/vi/qHpE45b4INk/maxresdefault.jpg,Sơn Tùng M-TP/Nơi Này Có Anh/Nơi Này Có Anh.mp3
Đừng Làm Trái Tim Anh Đau,Sơn Tùng M-TP,Sơn Tùng M-TP,Đừng Làm Trái Tim Anh Đau,vpop-mainstream,https://music.youtube.com/watch?v=7u4g483WTzw,https://i.ytimg.com/vi/7u4g483WTzw/maxresdefault.jpg,Sơn Tùng M-TP/Đừng Làm Trái Tim Anh Đau/Đừng Làm Trái Tim Anh Đau.mp3
Buong Doi Tay Nhau Ra,Sơn Tùng M-TP,Son Tung M-TP,Buong Doi Tay Nhau Ra,vpop-mainstream,https://music.youtube.com/watch?v=VRQr1edrqOY,https://i.ytimg.com/vi/VRQr1edrqOY/maxresdefault.jpg,Sơn Tùng M-TP/Buong Doi Tay Nhau Ra/Buong Doi Tay Nhau Ra.mp3
Muộn Rồi Mà Sao Còn,Sơn Tùng M-TP,Sơn Tùng M-TP,Muộn Rồi Mà Sao Còn,vpop-mainstream,https://music.youtube.com/watch?v=dLoIOUe1oes,https://i.ytimg.com/vi/dLoIOUe1oes/maxresdefault.jpg,Sơn Tùng M-TP/Muộn Rồi Mà Sao Còn/Muộn Rồi Mà Sao Còn.mp3
Hãy Trao Cho Anh,Sơn Tùng M-TP,"Sơn Tùng M-TP, Snoop Dogg",Hãy Trao Cho Anh,vpop-mainstream,https://music.youtube.com/watch?v=emMR03tG2CE,https://i.ytimg.com/vi/emMR03tG2CE/maxresdefault.jpg,Sơn Tùng M-TP/Hãy Trao Cho Anh/Hãy Trao Cho Anh.mp3
Chúng Ta Không Thuộc Về Nhau,Sơn Tùng M-TP,Sơn Tùng M-TP,Chúng Ta Không Thuộc Về Nhau,vpop-mainstream,https://music.youtube.com/watch?v=78dCF99PheM,https://i.ytimg.com/vi/78dCF99PheM/maxresdefault.jpg,Sơn Tùng M-TP/Chúng Ta Không Thuộc Về Nhau/Chúng Ta Không Thuộc Về Nhau.mp3
Em Của Ngày Hôm Qua,Sơn Tùng M-TP,Sơn Tùng M-TP,Em Của Ngày Hôm Qua,vpop-mainstream,https://music.youtube.com/watch?v=t-cKtOItdhc,https://i.ytimg.com/vi/t-cKtOItdhc/maxresdefault.jpg,Sơn Tùng M-TP/Em Của Ngày Hôm Qua/Em Của Ngày Hôm Qua.mp3
Có Chắc Yêu Là Đây,Sơn Tùng M-TP,Sơn Tùng M-TP,Có Chắc Yêu Là Đây,vpop-mainstream,https://music.youtube.com/watch?v=9jX6cDzLM_k,https://i.ytimg.com/vi/9jX6cDzLM_k/maxresdefault.jpg,Sơn Tùng M-TP/Có Chắc Yêu Là Đây/Có Chắc Yêu Là Đây.mp3
Âm Thầm Bên Em,Sơn Tùng M-TP,Sơn Tùng M-TP,Âm Thầm Bên Em,vpop-mainstream,https://music.youtube.com/watch?v=cnHHCR7EW10,https://i.ytimg.com/vi/cnHHCR7EW10/maxresdefault.jpg,Sơn Tùng M-TP/Âm Thầm Bên Em/Âm Thầm Bên Em.mp3
Nắng Ấm Xa Dần,Sơn Tùng M-TP,Sơn Tùng M-TP,Nắng Ấm Xa Dần,vpop-mainstream,https://music.youtube.com/watch?v=HrlpCgMgRVo,https://i.ytimg.com/vi/HrlpCgMgRVo/maxresdefault.jpg,Sơn Tùng M-TP/Nắng Ấm Xa Dần/Nắng Ấm Xa Dần.mp3
