Title,Main_Artist,Original_Artist,Album,Genre,Market,Duration_Sec,Source,Source_ID,Source_URL,Cover_URL,File_Path,Audio_URL,Download_Status
How You Like That,BLACKPINK,BLACKPINK,THE ALBUM,KPOP-GEN3,KPOP,181,nhaccuatui,kiqKPIGPJ15C,https://www.nhaccuatui.com/song/kiqKPIGPJ15C?source=app,https://image-cdn.nct.vn/song/2020/06/26/6/8/7/c/1593162610288.jpg,BLACKPINK/THE ALBUM/How You Like That.mp3,/uploads/music/final_songs/Kpop/BLACKPINK/THE ALBUM/How You Like That.mp3,downloaded
Ice Cream,BLACKPINK,"BLACKPINK, Selena Gomez",THE ALBUM,KPOP-GEN3,KPOP,175,nhaccuatui,NBhWAVSyHGyQ,https://www.nhaccuatui.com/song/NBhWAVSyHGyQ?source=app,https://image-cdn.nct.vn/song/2020/08/28/9/f/d/6/1598588186805.jpg,BLACKPINK/THE ALBUM/Ice Cream.mp3,/uploads/music/final_songs/Kpop/BLACKPINK/THE ALBUM/Ice Cream.mp3,downloaded
Pretty Savage,BLACKPINK,BLACKPINK,THE ALBUM,KPOP-GEN3,KPOP,199,nhaccuatui,k2b1JEko9HUW,https://www.nhaccuatui.com/song/k2b1JEko9HUW?source=app,https://image-cdn.nct.vn/song/2020/10/02/a/e/7/c/1601612216739.jpg,BLACKPINK/THE ALBUM/Pretty Savage.mp3,/uploads/music/final_songs/Kpop/BLACKPINK/THE ALBUM/Pretty Savage.mp3,downloaded
Bet You Wanna,BLACKPINK,"BLACKPINK, Cardi B",THE ALBUM,KPOP-GEN3,KPOP,159,nhaccuatui,1t7tX9NxThEC,https://www.nhaccuatui.com/song/1t7tX9NxThEC?source=app,https://image-cdn.nct.vn/song/2020/10/02/a/e/7/c/1601612132701.jpg,BLACKPINK/THE ALBUM/Bet You Wanna.mp3,/uploads/music/final_songs/Kpop/BLACKPINK/THE ALBUM/Bet You Wanna.mp3,downloaded
Lovesick Girls,BLACKPINK,BLACKPINK,THE ALBUM,KPOP-GEN3,KPOP,192,nhaccuatui,P7pRcQxX72jT,https://www.nhaccuatui.com/song/P7pRcQxX72jT?source=app,https://image-cdn.nct.vn/song/2020/10/02/a/e/7/c/1601611437417.jpg,BLACKPINK/THE ALBUM/Lovesick Girls.mp3,/uploads/music/final_songs/Kpop/BLACKPINK/THE ALBUM/Lovesick Girls.mp3,downloaded
Crazy Over You,BLACKPINK,BLACKPINK,THE ALBUM,KPOP-GEN3,KPOP,161,nhaccuatui,fkrUwAzXPkLg,https://www.nhaccuatui.com/song/fkrUwAzXPkLg?source=app,https://image-cdn.nct.vn/song/2020/10/02/a/e/7/c/1601612147275.jpg,BLACKPINK/THE ALBUM/Crazy Over You.mp3,/uploads/music/final_songs/Kpop/BLACKPINK/THE ALBUM/Crazy Over You.mp3,downloaded
Love To Hate Me,BLACKPINK,BLACKPINK,THE ALBUM,KPOP-GEN3,KPOP,169,nhaccuatui,JvgYQbmTc1h8,https://www.nhaccuatui.com/song/JvgYQbmTc1h8?source=app,https://image-cdn.nct.vn/song/2020/10/02/a/e/7/c/1601612321234.jpg,BLACKPINK/THE ALBUM/Love To Hate Me.mp3,/uploads/music/final_songs/Kpop/BLACKPINK/THE ALBUM/Love To Hate Me.mp3,downloaded
You Never Know,BLACKPINK,BLACKPINK,THE ALBUM,KPOP-GEN3,KPOP,229,nhaccuatui,MZFUbT7ildt8,https://www.nhaccuatui.com/song/MZFUbT7ildt8?source=app,https://image-cdn.nct.vn/song/2020/10/02/a/e/7/c/1601612512666.jpg,BLACKPINK/THE ALBUM/You Never Know.mp3,/uploads/music/final_songs/Kpop/BLACKPINK/THE ALBUM/You Never Know.mp3,downloaded
JUMP,BLACKPINK,BLACKPINK,DEADLINE,KPOP-GEN3,KPOP,164,nhaccuatui,sPQEphMB6G5c,https://www.nhaccuatui.com/song/sPQEphMB6G5c?source=app,https://image-cdn.nct.vn/song/2025/07/11/T/l/M/o/1752207198317.jpg,BLACKPINK/DEADLINE/JUMP.mp3,/uploads/music/final_songs/Kpop/BLACKPINK/DEADLINE/JUMP.mp3,downloaded
GO,BLACKPINK,BLACKPINK,DEADLINE,KPOP-GEN3,KPOP,195,nhaccuatui,g0j1UrIGknIZ,https://www.nhaccuatui.com/song/g0j1UrIGknIZ?source=app,https://image-cdn.nct.vn/song/2026/02/26/Y/v/c/H/1772088317113.jpg,BLACKPINK/DEADLINE/GO.mp3,/uploads/music/final_songs/Kpop/BLACKPINK/DEADLINE/GO.mp3,downloaded
Me and my,BLACKPINK,BLACKPINK,DEADLINE,KPOP-GEN3,KPOP,172,nhaccuatui,0XlXfDR8UOCI,https://www.nhaccuatui.com/song/0XlXfDR8UOCI?source=app,https://image-cdn.nct.vn/song/2026/02/26/Y/v/c/H/1772088317113.jpg,BLACKPINK/DEADLINE/Me and my.mp3,/uploads/music/final_songs/Kpop/BLACKPINK/DEADLINE/Me and my.mp3,downloaded
Champion,BLACKPINK,BLACKPINK,DEADLINE,KPOP-GEN3,KPOP,172,nhaccuatui,xbNZyuz9C3t6,https://www.nhaccuatui.com/song/xbNZyuz9C3t6?source=app,https://image-cdn.nct.vn/song/2026/02/26/Y/v/c/H/1772088317113.jpg,BLACKPINK/DEADLINE/Champion.mp3,/uploads/music/final_songs/Kpop/BLACKPINK/DEADLINE/Champion.mp3,downloaded
